nmrFileName,peakid,mzml,researcher,username,instrument,organization,date
zvanycr-20130731-SMU-CDM-961.4mz-acetone,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jul 31 00:00:00 EDT 2013
zvanycr-20130813-SMU_826.5mz_DMF,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 13 00:00:00 EDT 2013
zvanycr-20130813-SMU_826.5mz_DMSO_D2O,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 13 00:00:00 EDT 2013
zvanycr-20130813-SMU_858.5mz_DMF,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 13 00:00:00 EDT 2013
zvanycr-20130813-SMU_961.5mz_DMF,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 13 00:00:00 EDT 2013
zvanycr-20130813-SMU_961.5mz_DMSO_D2O,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 13 00:00:00 EDT 2013
zvanycr-20130821-SMU_CDM_826.5mz_CDMS_D2O_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Aug 21 00:00:00 EDT 2013
zvanycr-20130821-SMU_CDM_826.5mz_DMSO_D2O,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Aug 21 00:00:00 EDT 2013
zvanycr-20130823-SMU_826mz_DMSO_D2O_pooled,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Aug 23 00:00:00 EDT 2013
zvanycr-20130829-723mz_SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20130829-759mz_SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20130829-769mz_SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20130829-824mz-SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20130829-858mz-SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20130829-872mz-SMU,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 29 00:00:00 EDT 2013
zvanycr-20140123_F2_193mz_MeOD_1H,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jan 23 00:00:00 EST 2014
zvanycr-20140123_F2_193mz_MeOD_2,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jan 23 00:00:00 EST 2014
zvanycr-20140123_F2_193mz_MeOD_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jan 24 00:00:00 EST 2014
zvanycr-20140123_F2_193mz_MeOD_DEPTq,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jan 24 00:00:00 EST 2014
zvanycr-20140123_F2_193mz_MeOD_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jan 24 00:00:00 EST 2014
zvanycr-20140123_F2_193mz_MeOD_HSQC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jan 24 00:00:00 EST 2014
zvanycr-20140126_F2_193mz_yellow_super,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Jan 26 00:00:00 EST 2014
zvanycr-20140129_F2_193mz_semi_pure,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jan 30 00:00:00 EST 2014
zvanycr-20140129_F2_193mz_semi_pure_1H,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jan 30 00:00:00 EST 2014
zvanycr-20140129_F2_193mz_semi_pure_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jan 30 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_1H,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_1H_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_1H_WS,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_1H_WS_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140201_F2_193mz_pure_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Feb 02 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_1H,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Feb 03 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_1H_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 05 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_1H_512_WS_180,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 05 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_1H_512_WS_W5,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 05 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Feb 03 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_DEPTq,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Feb 04 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Feb 03 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_HMBC_HN,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Feb 05 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_HN_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Feb 07 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_HSQC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Feb 04 00:00:00 EST 2014
zvanycr-20140202_F2_193mz_pure_HSQC_HN,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Feb 04 00:00:00 EST 2014
zvanycr-20140808_pseudenamide_A,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Aug 08 00:00:00 EDT 2014
zvanycr-20150610_611mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jun 10 00:00:00 EDT 2015
zvanycr-20150612_first_post_DMSO_611mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 12 00:00:00 EDT 2015
zvanycr-20150612_semi_pure_611mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 12 00:00:00 EDT 2015
zvanycr-20150612_white_rim_611mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 12 00:00:00 EDT 2015
zvanycr-20150617_pure_611mz,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jun 17 00:00:00 EDT 2015
zvanycr-20150617_pure_611mz_MeOD,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150617_pure_611mz_MeOD_WS_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150617_pure_611mz_WS,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Jun 17 00:00:00 EDT 2015
zvanycr-20150617_pure_611mz_WS_HNMR_4096,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_D2O_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sat Jun 20 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_D2O_DEPTq,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Jun 21 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_D2O_TOCSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Jun 21 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_WS_256_CDCl3,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_WS_D2O_4096,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 19 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_WS_D2O_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 19 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_WS_MeOD_2048,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Jun 19 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_WS_MeOD_256,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150618_pure_611mz_acetone_WS_512,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Jun 18 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Aug 24 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 25 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO_DEPTq,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Aug 26 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO_H,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Aug 25 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Aug 28 00:00:00 EDT 2015
zvanycr-20150824_F.prausnitzii_mz301_DMSO_HSQC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Aug 27 00:00:00 EDT 2015
zvanycr-20151213_F.prau_mz301,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Dec 13 17:13:00 EST 2015
zvanycr-20160218_pseudenamide_B,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Thu Feb 18 17:41:00 EST 2016
zvanycr-20160305_Pb03_pBu,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sat Mar 05 15:41:00 EST 2016
zvanycr-20160313_Pb03_t14,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Mar 14 11:41:00 EDT 2016
zvanycr-20160313_Pb03_t14_COSY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Mar 15 03:41:00 EDT 2016
zvanycr-20160313_Pb03_t14_DEPTq,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Mar 15 02:41:00 EDT 2016
zvanycr-20160313_Pb03_t14_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Tue Mar 15 09:11:00 EDT 2016
zvanycr-20160313_Pb03_t14_HSQC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Mar 16 04:11:00 EDT 2016
zvanycr-20160313_Pb03_t23,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Mar 14 11:41:00 EDT 2016
zvanycr-20160313_Pb03_t5-8,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Mar 14 11:11:00 EDT 2016
zvanycr-20160325_Pb03_t14_HMBC,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Wed Mar 30 12:40:00 EDT 2016
zvanycr-20160325_Pb03_t14_NOESY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Mar 28 08:40:00 EDT 2016
zvanycr-20160325_Pb03_t14_ROESY,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Mon Mar 28 12:10:00 EDT 2016
zvanycr-20160402_mz492(mz508),,,Ross Z.,zvanycr,NMR,Magarvey Lab,Sun Apr 03 23:40:00 EDT 2016
zvanycr-20160405,,,Ross Z.,zvanycr,NMR,Magarvey Lab,Fri Apr 08 17:40:00 EDT 2016
